,blue top,blue jungle,blue mid,blue bottom,blue support,red top,red jungle,red mid,red bottom,red support,blue team win rate
239,35544000,22746294,42825123,23327321,43093464,46242384,39992280,35332330,22542830,47330913,0.4956777680219848
240,26732488,34312074,38249397,51166043,47330220,20166926,58504911,31253758,19215061,22134058,0.4665683607144616
241,21431866,8523,39101176,46086976,23627805,19154158,24248820,32595758,31987133,25876221,0.5427406458304583
242,39158850,30514786,25296275,20193274,58716545,61733747,31849448,59862205,19629205,25224340,0.4909506605851691
243,24627800,32648249,42921299,22240289,57321979,40966562,26851154,312510,31316481,36728046,0.48538584379971816
244,24613596,19067488,51714042,35949723,39491525,22402253,32958693,44413961,21443131,20879338,0.548765681942135
245,19809862,20746171,47452690,59533953,22934366,32972140,61222447,47457014,20813915,50967427,0.489651827198521
246,19627511,42799347,24131852,537332,53317543,24481915,40922100,34672523,51943140,37430970,0.5009972696496401
247,21642422,57329958,46342748,28993630,53456156,47775902,61809077,22876167,26294513,29564236,0.4692942846554059
248,23589931,59564209,29254985,37875240,29392212,30627908,50282856,50687252,24324350,24095299,0.4522828950722787
249,20377628,68746,25038866,29210542,21453779,34220248,21316051,43499919,37062249,35785883,0.5033811838319452
250,43961156,31743006,50632053,50033000,22033977,45385042,20111668,22681982,37555912,38672152,0.4883069771610807
251,24240200,24447657,55889653,41333946,25410077,29611170,42183865,45066232,21194657,20928646,0.47347430376441485
252,36353364,50643721,50580587,53131086,23410545,40495008,31241928,22124798,43679400,24388497,0.486775203178741
253,41904211,31796156,46143426,21641911,24074396,30979072,40459145,37442312,44900432,23557768,0.49976285172654855
254,478681,38662478,44576172,39802651,44470606,25861954,56571947,41686151,35219435,22324057,0.45362019664330755
255,30131614,52438925,36902827,19705758,64519760,49259612,27969347,19725088,44010320,39049360,0.48870866876758473
256,31801160,50578944,46294946,27300155,43840305,22463122,35025225,197590,21298246,43780964,0.5450059293187816
257,47098008,24628633,35712469,32519939,25010940,50699609,23358674,34073632,30240656,34684939,0.49247547838708955
258,31969691,56331729,44070121,45600848,33021806,21834393,43119655,32762574,52089151,22031554,0.486389802920663
259,26212986,20953775,25589627,47419184,64081179,33061454,35680750,24356119,35049690,40684716,0.5283935149168789
260,35511077,27862705,45716217,30835301,52640212,35561641,171389,34177106,26719839,44666700,0.538440619895028
261,27394806,19893806,50141854,24473501,24428744,567647,23160889,21695394,21160492,44777649,0.5081259819539269
